"","study_title","sequence_accession_number","primary_id","organism","run_id","library_strategy","library_source","library_selection","sample_name"
"26","Stool conservation","SRX8507160","SRP266568","human gut metagenome","SRR11962967","AMPLICON","METAGENOMIC","other","P1SLJ8"
"27","Stool conservation","SRX8507159","SRP266568","human gut metagenome","SRR11962968","AMPLICON","METAGENOMIC","other","P1SLJ6Bi"
"28","Stool conservation","SRX8507158","SRP266568","human gut metagenome","SRR11962969","AMPLICON","METAGENOMIC","other","P1SLJ6"
"29","Stool conservation","SRX8507157","SRP266568","human gut metagenome","SRR11962970","AMPLICON","METAGENOMIC","other","P1SLJ4Bi"
"30","Stool conservation","SRX8507156","SRP266568","human gut metagenome","SRR11962971","AMPLICON","METAGENOMIC","other","P1SLJ4"
"31","Stool conservation","SRX8507155","SRP266568","human gut metagenome","SRR11962972","AMPLICON","METAGENOMIC","other","P1SLJ2Bi"
"32","Stool conservation","SRX8507154","SRP266568","human gut metagenome","SRR11962973","AMPLICON","METAGENOMIC","other","P1SLJ2"
"33","Stool conservation","SRX8507153","SRP266568","human gut metagenome","SRR11962974","AMPLICON","METAGENOMIC","other","C1_50"
"34","Stool conservation","SRX8507152","SRP266568","human gut metagenome","SRR11962975","AMPLICON","METAGENOMIC","other","P1SLJ1"
"35","Stool conservation","SRX8507151","SRP266568","human gut metagenome","SRR11962976","AMPLICON","METAGENOMIC","other","P1SGT0"
"36","Stool conservation","SRX8507150","SRP266568","human gut metagenome","SRR11962977","AMPLICON","METAGENOMIC","other","P1SGJ9"
"37","Stool conservation","SRX8507149","SRP266568","human gut metagenome","SRR11962978","AMPLICON","METAGENOMIC","other","P1SGJ8Bi"
"38","Stool conservation","SRX8507148","SRP266568","human gut metagenome","SRR11962979","AMPLICON","METAGENOMIC","other","P1SGJ8"
"39","Stool conservation","SRX8507147","SRP266568","human gut metagenome","SRR11962980","AMPLICON","METAGENOMIC","other","P1SGJ6Bi"
"40","Stool conservation","SRX8507146","SRP266568","human gut metagenome","SRR11962981","AMPLICON","METAGENOMIC","other","P1SGJ6"
"41","Stool conservation","SRX8507145","SRP266568","human gut metagenome","SRR11962982","AMPLICON","METAGENOMIC","other","P1SGJ4Bi"
"42","Stool conservation","SRX8507144","SRP266568","human gut metagenome","SRR11962983","AMPLICON","METAGENOMIC","other","P1SGJ4"
"43","Stool conservation","SRX8507143","SRP266568","human gut metagenome","SRR11962984","AMPLICON","METAGENOMIC","other","P1SGJ2Bi"
"44","Stool conservation","SRX8507142","SRP266568","human gut metagenome","SRR11962985","AMPLICON","METAGENOMIC","other","C1_49"
"45","Stool conservation","SRX8507141","SRP266568","human gut metagenome","SRR11962986","AMPLICON","METAGENOMIC","other","P1SGJ2"
"46","Stool conservation","SRX8507140","SRP266568","human gut metagenome","SRR11962987","AMPLICON","METAGENOMIC","other","P1SGJ1"
"47","Stool conservation","SRX8507139","SRP266568","human gut metagenome","SRR11962988","AMPLICON","METAGENOMIC","other","P1SFT0"
"48","Stool conservation","SRX8507138","SRP266568","human gut metagenome","SRR11962989","AMPLICON","METAGENOMIC","other","P1SFJ9"
"49","Stool conservation","SRX8507137","SRP266568","human gut metagenome","SRR11962990","AMPLICON","METAGENOMIC","other","P1SFJ8Bi"
"50","Stool conservation","SRX8507136","SRP266568","human gut metagenome","SRR11962991","AMPLICON","METAGENOMIC","other","P1SFJ8"
"51","Stool conservation","SRX8507135","SRP266568","human gut metagenome","SRR11962992","AMPLICON","METAGENOMIC","other","P1SFJ6Bi"
"52","Stool conservation","SRX8507134","SRP266568","human gut metagenome","SRR11962993","AMPLICON","METAGENOMIC","other","P1SFJ6"
"53","Stool conservation","SRX8507133","SRP266568","human gut metagenome","SRR11962994","AMPLICON","METAGENOMIC","other","P1SFJ4Bi"
"54","Stool conservation","SRX8507132","SRP266568","human gut metagenome","SRR11962995","AMPLICON","METAGENOMIC","other","P1SFJ4"
"55","Stool conservation","SRX8507131","SRP266568","human gut metagenome","SRR11962996","AMPLICON","METAGENOMIC","other","C1_48"
"56","Stool conservation","SRX8507130","SRP266568","human gut metagenome","SRR11962997","AMPLICON","METAGENOMIC","other","P1SFJ2MBi"
"57","Stool conservation","SRX8507129","SRP266568","human gut metagenome","SRR11962998","AMPLICON","METAGENOMIC","other","P1SFJ2"
"58","Stool conservation","SRX8507128","SRP266568","human gut metagenome","SRR11962999","AMPLICON","METAGENOMIC","other","P1SFJ11"
"59","Stool conservation","SRX8507127","SRP266568","human gut metagenome","SRR11963000","AMPLICON","METAGENOMIC","other","P1SFJ10Bi"
"60","Stool conservation","SRX8507126","SRP266568","human gut metagenome","SRR11963001","AMPLICON","METAGENOMIC","other","P1SFJ10"
"61","Stool conservation","SRX8507125","SRP266568","human gut metagenome","SRR11963002","AMPLICON","METAGENOMIC","other","P1SFJ1"
"62","Stool conservation","SRX8507124","SRP266568","human gut metagenome","SRR11963003","AMPLICON","METAGENOMIC","other","P1SCT0"
"63","Stool conservation","SRX8507123","SRP266568","human gut metagenome","SRR11963004","AMPLICON","METAGENOMIC","other","P1SCJ9"
"64","Stool conservation","SRX8507122","SRP266568","human gut metagenome","SRR11963005","AMPLICON","METAGENOMIC","other","P1SCJ8Bi"
"65","Stool conservation","SRX8507121","SRP266568","human gut metagenome","SRR11963006","AMPLICON","METAGENOMIC","other","P1SCJ8"
"66","Stool conservation","SRX8507120","SRP266568","human gut metagenome","SRR11963007","AMPLICON","METAGENOMIC","other","C1_47"
"67","Stool conservation","SRX8507119","SRP266568","human gut metagenome","SRR11963008","AMPLICON","METAGENOMIC","other","P1SCJ6Bi"
"68","Stool conservation","SRX8507118","SRP266568","human gut metagenome","SRR11963009","AMPLICON","METAGENOMIC","other","P1SCJ6"
"69","Stool conservation","SRX8507117","SRP266568","human gut metagenome","SRR11963010","AMPLICON","METAGENOMIC","other","P1SCJ4Bi"
"70","Stool conservation","SRX8507116","SRP266568","human gut metagenome","SRR11963011","AMPLICON","METAGENOMIC","other","P1SCJ4"
"71","Stool conservation","SRX8507115","SRP266568","human gut metagenome","SRR11963012","AMPLICON","METAGENOMIC","other","P1SCJ2Bi"
"72","Stool conservation","SRX8507114","SRP266568","human gut metagenome","SRR11963013","AMPLICON","METAGENOMIC","other","P1SCJ2"
"73","Stool conservation","SRX8507113","SRP266568","human gut metagenome","SRR11963014","AMPLICON","METAGENOMIC","other","P1SCJ1"
"74","Stool conservation","SRX8507112","SRP266568","human gut metagenome","SRR11963015","AMPLICON","METAGENOMIC","other","P1FECES"
"75","Stool conservation","SRX8507111","SRP266568","human gut metagenome","SRR11963016","AMPLICON","METAGENOMIC","other","C2_58"
"76","Stool conservation","SRX8507110","SRP266568","human gut metagenome","SRR11963017","AMPLICON","METAGENOMIC","other","C2_57"
"77","Stool conservation","SRX8507109","SRP266568","human gut metagenome","SRR11963018","AMPLICON","METAGENOMIC","other","C1_46"
"78","Stool conservation","SRX8507108","SRP266568","human gut metagenome","SRR11963019","AMPLICON","METAGENOMIC","other","C2_56"
"79","Stool conservation","SRX8507107","SRP266568","human gut metagenome","SRR11963020","AMPLICON","METAGENOMIC","other","C2_55"
"80","Stool conservation","SRX8507106","SRP266568","human gut metagenome","SRR11963021","AMPLICON","METAGENOMIC","other","C2_54"
"81","Stool conservation","SRX8507105","SRP266568","human gut metagenome","SRR11963022","AMPLICON","METAGENOMIC","other","C2_53"
"82","Stool conservation","SRX8507104","SRP266568","human gut metagenome","SRR11963023","AMPLICON","METAGENOMIC","other","C2_52"
"83","Stool conservation","SRX8507103","SRP266568","human gut metagenome","SRR11963024","AMPLICON","METAGENOMIC","other","C2_51"
"84","Stool conservation","SRX8507102","SRP266568","human gut metagenome","SRR11963025","AMPLICON","METAGENOMIC","other","C2_50"
"85","Stool conservation","SRX8507101","SRP266568","human gut metagenome","SRR11963026","AMPLICON","METAGENOMIC","other","C2_49"
"86","Stool conservation","SRX8507100","SRP266568","human gut metagenome","SRR11963027","AMPLICON","METAGENOMIC","other","C2_48"
"87","Stool conservation","SRX8507099","SRP266568","human gut metagenome","SRR11963028","AMPLICON","METAGENOMIC","other","C2_47"
"88","Stool conservation","SRX8507098","SRP266568","human gut metagenome","SRR11963029","AMPLICON","METAGENOMIC","other","C1_45"
"89","Stool conservation","SRX8507097","SRP266568","human gut metagenome","SRR11963030","AMPLICON","METAGENOMIC","other","C2_46"
"90","Stool conservation","SRX8507096","SRP266568","human gut metagenome","SRR11963031","AMPLICON","METAGENOMIC","other","C2_45"
"91","Stool conservation","SRX8507095","SRP266568","human gut metagenome","SRR11963032","AMPLICON","METAGENOMIC","other","C2_44"
"92","Stool conservation","SRX8507094","SRP266568","human gut metagenome","SRR11963033","AMPLICON","METAGENOMIC","other","C2_43"
"93","Stool conservation","SRX8507093","SRP266568","human gut metagenome","SRR11963034","AMPLICON","METAGENOMIC","other","C1_58"
"94","Stool conservation","SRX8507092","SRP266568","human gut metagenome","SRR11963035","AMPLICON","METAGENOMIC","other","C1_57"
"95","Stool conservation","SRX8507091","SRP266568","human gut metagenome","SRR11963036","AMPLICON","METAGENOMIC","other","C1_56"
"96","Stool conservation","SRX8507090","SRP266568","human gut metagenome","SRR11963037","AMPLICON","METAGENOMIC","other","P2SLT0"
"97","Stool conservation","SRX8507089","SRP266568","human gut metagenome","SRR11963038","AMPLICON","METAGENOMIC","other","P2SLJ9"
"98","Stool conservation","SRX8507088","SRP266568","human gut metagenome","SRR11963039","AMPLICON","METAGENOMIC","other","P2SLJ8Bi"
"99","Stool conservation","SRX8507087","SRP266568","human gut metagenome","SRR11963040","AMPLICON","METAGENOMIC","other","P2SLJ8"
"100","Stool conservation","SRX8507086","SRP266568","human gut metagenome","SRR11963041","AMPLICON","METAGENOMIC","other","P2SLJ6Bi"
"101","Stool conservation","SRX8507085","SRP266568","human gut metagenome","SRR11963042","AMPLICON","METAGENOMIC","other","P2SLJ6"
"102","Stool conservation","SRX8507084","SRP266568","human gut metagenome","SRR11963043","AMPLICON","METAGENOMIC","other","P2SLJ4Bi"
"103","Stool conservation","SRX8507083","SRP266568","human gut metagenome","SRR11963044","AMPLICON","METAGENOMIC","other","C1_55"
"104","Stool conservation","SRX8507082","SRP266568","human gut metagenome","SRR11963045","AMPLICON","METAGENOMIC","other","P2SLJ4"
"105","Stool conservation","SRX8507081","SRP266568","human gut metagenome","SRR11963046","AMPLICON","METAGENOMIC","other","P2SLJ2Bi"
"106","Stool conservation","SRX8507080","SRP266568","human gut metagenome","SRR11963047","AMPLICON","METAGENOMIC","other","P2SLJ2"
"107","Stool conservation","SRX8507079","SRP266568","human gut metagenome","SRR11963048","AMPLICON","METAGENOMIC","other","P2SLJ1"
"108","Stool conservation","SRX8507078","SRP266568","human gut metagenome","SRR11963049","AMPLICON","METAGENOMIC","other","P2SGT0"
"109","Stool conservation","SRX8507077","SRP266568","human gut metagenome","SRR11963050","AMPLICON","METAGENOMIC","other","P2SGJ9"
"110","Stool conservation","SRX8507076","SRP266568","human gut metagenome","SRR11963051","AMPLICON","METAGENOMIC","other","P2SGJ8Bi"
"111","Stool conservation","SRX8507075","SRP266568","human gut metagenome","SRR11963052","AMPLICON","METAGENOMIC","other","P2SGJ8"
"112","Stool conservation","SRX8507074","SRP266568","human gut metagenome","SRR11963053","AMPLICON","METAGENOMIC","other","P2SGJ6Bi"
"113","Stool conservation","SRX8507073","SRP266568","human gut metagenome","SRR11963054","AMPLICON","METAGENOMIC","other","P2SGJ6"
"114","Stool conservation","SRX8507072","SRP266568","human gut metagenome","SRR11963055","AMPLICON","METAGENOMIC","other","C1_54"
"115","Stool conservation","SRX8507071","SRP266568","human gut metagenome","SRR11963056","AMPLICON","METAGENOMIC","other","P2SGJ4Bi"
"116","Stool conservation","SRX8507070","SRP266568","human gut metagenome","SRR11963057","AMPLICON","METAGENOMIC","other","P2SGJ4"
"117","Stool conservation","SRX8507069","SRP266568","human gut metagenome","SRR11963058","AMPLICON","METAGENOMIC","other","P2SGJ2Bi"
"118","Stool conservation","SRX8507068","SRP266568","human gut metagenome","SRR11963059","AMPLICON","METAGENOMIC","other","P2SGJ2"
"119","Stool conservation","SRX8507067","SRP266568","human gut metagenome","SRR11963060","AMPLICON","METAGENOMIC","other","P2SGJ1"
"120","Stool conservation","SRX8507066","SRP266568","human gut metagenome","SRR11963061","AMPLICON","METAGENOMIC","other","P2SFT0"
"121","Stool conservation","SRX8507065","SRP266568","human gut metagenome","SRR11963062","AMPLICON","METAGENOMIC","other","P2SFJ9"
"122","Stool conservation","SRX8507064","SRP266568","human gut metagenome","SRR11963063","AMPLICON","METAGENOMIC","other","P2SFJ8Bi"
"123","Stool conservation","SRX8507063","SRP266568","human gut metagenome","SRR11963064","AMPLICON","METAGENOMIC","other","P2SFJ8"
"124","Stool conservation","SRX8507062","SRP266568","human gut metagenome","SRR11963065","AMPLICON","METAGENOMIC","other","P2SFJ6Bi"
"125","Stool conservation","SRX8507061","SRP266568","human gut metagenome","SRR11963066","AMPLICON","METAGENOMIC","other","C1_53"
"126","Stool conservation","SRX8507060","SRP266568","human gut metagenome","SRR11963067","AMPLICON","METAGENOMIC","other","C1_44"
"127","Stool conservation","SRX8507059","SRP266568","human gut metagenome","SRR11963068","AMPLICON","METAGENOMIC","other","C1_43"
"128","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420550","SRP290868","human metagenome","SRR12968038","AMPLICON","METAGENOMIC","PCR","V42.U1.dec.L"
"129","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420549","SRP290868","human metagenome","SRR12968039","AMPLICON","METAGENOMIC","PCR","V40.U1.inc.L"
"130","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420548","SRP290868","human metagenome","SRR12968040","AMPLICON","METAGENOMIC","PCR","V4.U1.inc.L"
"131","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420547","SRP290868","human metagenome","SRR12968044","AMPLICON","METAGENOMIC","PCR","V33.U1.dec.M"
"132","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420546","SRP290868","human metagenome","SRR12968041","AMPLICON","METAGENOMIC","PCR","V31.U1.inc.M"
"133","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420545","SRP290868","human metagenome","SRR12968042","AMPLICON","METAGENOMIC","PCR","ORIDay0"
"134","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420544","SRP290868","human metagenome","SRR12968043","AMPLICON","METAGENOMIC","PCR","Day27.TC2.M"
"135","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420543","SRP290868","human metagenome","SRR12968045","AMPLICON","METAGENOMIC","PCR","Day27.TC2.L"
"136","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420542","SRP290868","human metagenome","SRR12968046","AMPLICON","METAGENOMIC","PCR","Day27.TC1.M"
"137","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420541","SRP290868","human metagenome","SRR12968047","AMPLICON","METAGENOMIC","PCR","Day27.TC1.L"
"138","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420540","SRP290868","human metagenome","SRR12968048","AMPLICON","METAGENOMIC","PCR","Day27.DC2.M"
"139","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420539","SRP290868","human metagenome","SRR12968049","AMPLICON","METAGENOMIC","PCR","Day27.DC2.L"
"140","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420538","SRP290868","human metagenome","SRR12968050","AMPLICON","METAGENOMIC","PCR","Day27.DC1.M"
"141","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420537","SRP290868","human metagenome","SRR12968051","AMPLICON","METAGENOMIC","PCR","Day27.DC1.L"
"142","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420536","SRP290868","human metagenome","SRR12968052","AMPLICON","METAGENOMIC","PCR","Day27.AC2.M"
"143","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420535","SRP290868","human metagenome","SRR12968053","AMPLICON","METAGENOMIC","PCR","V24.U1.dec.L"
"144","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420534","SRP290868","human metagenome","SRR12968054","AMPLICON","METAGENOMIC","PCR","Day27.AC2.L"
"145","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420533","SRP290868","human metagenome","SRR12968055","AMPLICON","METAGENOMIC","PCR","Day27.AC1.M"
"146","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420532","SRP290868","human metagenome","SRR12968056","AMPLICON","METAGENOMIC","PCR","Day27.AC1.L"
"147","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420531","SRP290868","human metagenome","SRR12968057","AMPLICON","METAGENOMIC","PCR","Day25.TC2.M"
"148","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420530","SRP290868","human metagenome","SRR12968058","AMPLICON","METAGENOMIC","PCR","Day25.TC2.L"
"149","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420529","SRP290868","human metagenome","SRR12968059","AMPLICON","METAGENOMIC","PCR","Day25.TC1.M"
"150","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420528","SRP290868","human metagenome","SRR12968060","AMPLICON","METAGENOMIC","PCR","Day25.TC1.L"
"151","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420527","SRP290868","human metagenome","SRR12968061","AMPLICON","METAGENOMIC","PCR","Day25.DC2.M"
"152","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420526","SRP290868","human metagenome","SRR12968062","AMPLICON","METAGENOMIC","PCR","Day25.DC2.L"
"153","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420525","SRP290868","human metagenome","SRR12968063","AMPLICON","METAGENOMIC","PCR","Day25.DC1.M"
"154","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420524","SRP290868","human metagenome","SRR12968067","AMPLICON","METAGENOMIC","PCR","V22.U1.inc.L"
"155","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420523","SRP290868","human metagenome","SRR12968064","AMPLICON","METAGENOMIC","PCR","Day25.DC1.L"
"156","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420522","SRP290868","human metagenome","SRR12968065","AMPLICON","METAGENOMIC","PCR","Day25.AC2.M"
"157","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420521","SRP290868","human metagenome","SRR12968066","AMPLICON","METAGENOMIC","PCR","Day25.AC2.L"
"158","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420520","SRP290868","human metagenome","SRR12968068","AMPLICON","METAGENOMIC","PCR","Day25.AC1.M"
"159","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420519","SRP290868","human metagenome","SRR12968069","AMPLICON","METAGENOMIC","PCR","Day25.AC1.L"
"160","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420518","SRP290868","human metagenome","SRR12968070","AMPLICON","METAGENOMIC","PCR","Day23.TC2.M"
"161","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420517","SRP290868","human metagenome","SRR12968071","AMPLICON","METAGENOMIC","PCR","Day23.TC2.L"
"162","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420516","SRP290868","human metagenome","SRR12968075","AMPLICON","METAGENOMIC","PCR","Day23.TC1.M"
"163","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420515","SRP290868","human metagenome","SRR12968072","AMPLICON","METAGENOMIC","PCR","Day23.TC1.L"
"164","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420514","SRP290868","human metagenome","SRR12968073","AMPLICON","METAGENOMIC","PCR","Day23.DC2.M"
"165","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420513","SRP290868","human metagenome","SRR12968074","AMPLICON","METAGENOMIC","PCR","V15.U1.dec.M"
"166","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420512","SRP290868","human metagenome","SRR12968076","AMPLICON","METAGENOMIC","PCR","Day23.DC2.L"
"167","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420511","SRP290868","human metagenome","SRR12968077","AMPLICON","METAGENOMIC","PCR","Day23.DC1.M"
"168","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420510","SRP290868","human metagenome","SRR12968078","AMPLICON","METAGENOMIC","PCR","Day23.DC1.L"
"169","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420509","SRP290868","human metagenome","SRR12968079","AMPLICON","METAGENOMIC","PCR","Day23.AC2.M"
"170","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420508","SRP290868","human metagenome","SRR12968083","AMPLICON","METAGENOMIC","PCR","Day23.AC2.L"
"171","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420507","SRP290868","human metagenome","SRR12968080","AMPLICON","METAGENOMIC","PCR","Day23.AC1.M"
"172","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420506","SRP290868","human metagenome","SRR12968081","AMPLICON","METAGENOMIC","PCR","Day23.AC1.L"
"173","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420505","SRP290868","human metagenome","SRR12968082","AMPLICON","METAGENOMIC","PCR","V6.U1.dec.L"
"174","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420504","SRP290868","human metagenome","SRR12968084","AMPLICON","METAGENOMIC","PCR","V51.U1.dec.M"
"175","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420503","SRP290868","human metagenome","SRR12968085","AMPLICON","METAGENOMIC","PCR","V49.U1.inc.M"
"176","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420502","SRP290868","human metagenome","SRR12968086","AMPLICON","METAGENOMIC","PCR","V13.U1.inc.M"
"177","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRX9420501","SRP290868","human metagenome","SRR12968087","AMPLICON","METAGENOMIC","PCR","V1.inoculum.1"
"178","Scientific studies regarding the tetracycline effects on the human intestinal microbiota","SRX10334992","SRP105430","human gut metagenome","SRR13956603","AMPLICON","METAGENOMIC","PCR","tetracycline_D7_16SMG"
"179","Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply","SRX5491382","SRP187837","human gut metagenome","SRR8695500","AMPLICON","METAGENOMIC","PCR","25"
"180","Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply","SRX5491381","SRP187837","human gut metagenome","SRR8695501","AMPLICON","METAGENOMIC","PCR","26"
"181","Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply","SRX5491380","SRP187837","human gut metagenome","SRR8695502","AMPLICON","METAGENOMIC","PCR","27"
"182","Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply","SRX5491379","SRP187837","human gut metagenome","SRR8695503","AMPLICON","METAGENOMIC","PCR","21"
"183","Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply","SRX5491378","SRP187837","human gut metagenome","SRR8695504","AMPLICON","METAGENOMIC","PCR","22"
