"","study_title","primary_id","sequence_accession_number","run_id"
"29","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148412","SRR13761691"
"30","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148411","SRR13761692"
"31","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148410","SRR13761693"
"32","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148409","SRR13761694"
"33","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148408","SRR13761695"
"34","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148407","SRR13761696"
"35","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148406","SRR13761697"
"36","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148405","SRR13761698"
"37","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148404","SRR13761699"
"38","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148403","SRR13761700"
"39","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148402","SRR13761701"
"40","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148401","SRR13761702"
"41","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148400","SRR13761703"
"42","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148399","SRR13761704"
"43","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148398","SRR13761705"
"44","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148397","SRR13761706"
"45","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148396","SRR13761707"
"46","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148395","SRR13761708"
"47","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148394","SRR13761709"
"48","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148393","SRR13761710"
"49","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148392","SRR13761711"
"50","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148391","SRR13761712"
"51","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148390","SRR13761713"
"52","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148389","SRR13761714"
"53","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148388","SRR13761715"
"54","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148387","SRR13761716"
"55","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148386","SRR13761717"
"56","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148385","SRR13761718"
"57","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148384","SRR13761719"
"58","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148383","SRR13761720"
"59","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148382","SRR13761721"
"60","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148381","SRR13761722"
"61","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148380","SRR13761723"
"62","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148379","SRR13761724"
"63","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148378","SRR13761725"
"64","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148377","SRR13761726"
"65","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148376","SRR13761727"
"66","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148375","SRR13761728"
"67","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148374","SRR13761729"
"68","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148373","SRR13761730"
"69","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148372","SRR13761731"
"70","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148371","SRR13761732"
"71","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148370","SRR13761733"
"72","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148369","SRR13761734"
"73","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148368","SRR13761735"
"74","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148367","SRR13761736"
"75","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148366","SRR13761737"
"76","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558742","ERR2540324"
"77","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558741","ERR2540323"
"78","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558740","ERR2540322"
"79","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558739","ERR2540321"
"80","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558738","ERR2540320"
"81","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558737","ERR2540319"
"82","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558736","ERR2540318"
"83","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558735","ERR2540317"
"84","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558734","ERR2540316"
"85","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558733","ERR2540315"
"86","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558732","ERR2540314"
"87","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558731","ERR2540313"
"88","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558730","ERR2540312"
"89","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558729","ERR2540311"
"90","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558728","ERR2540310"
"91","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558727","ERR2540309"
"92","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558726","ERR2540308"
"93","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558725","ERR2540307"
"94","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558724","ERR2540306"
"95","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558723","ERR2540305"
"96","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558722","ERR2540304"
"97","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558721","ERR2540303"
"98","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558720","ERR2540302"
"99","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558719","ERR2540301"
"100","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558718","ERR2540300"
"101","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558717","ERR2540299"
"102","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558716","ERR2540298"
"103","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558715","ERR2540297"
"104","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558714","ERR2540296"
"105","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558713","ERR2540295"
"106","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558712","ERR2540294"
"107","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558711","ERR2540293"
"108","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558710","ERR2540292"
"109","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558709","ERR2540291"
"110","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558708","ERR2540290"
"111","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558707","ERR2540289"
"112","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558706","ERR2540288"
"113","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558705","ERR2540287"
"114","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558704","ERR2540286"
"115","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558703","ERR2540285"
"116","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558702","ERR2540284"
"117","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558701","ERR2540283"
"118","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558700","ERR2540282"
"119","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558699","ERR2540281"
"120","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558698","ERR2540280"
"121","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558697","ERR2540279"
"122","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558696","ERR2540278"
"123","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558695","ERR2540277"
"124","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558694","ERR2540276"
"125","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558693","ERR2540275"
"126","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558692","ERR2540274"
"127","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558691","ERR2540273"
"128","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558690","ERR2540272"
"129","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558689","ERR2540271"
"130","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558688","ERR2540270"
"131","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558687","ERR2540269"
"132","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558686","ERR2540268"
"133","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558685","ERR2540267"
"134","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558684","ERR2540266"
"135","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558683","ERR2540265"
"136","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558682","ERR2540264"
"137","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERP108433","ERX2558681","ERR2540263"
"138","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816268","SRR7985059"
"139","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816267","SRR7985060"
"140","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816266","SRR7985061"
"141","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816265","SRR7985062"
"142","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816264","SRR7985063"
"143","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816263","SRR7985064"
"144","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816262","SRR7985065"
"145","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816261","SRR7985066"
"146","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816260","SRR7985067"
"147","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816259","SRR7985068"
"148","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816258","SRR7985069"
"149","Commensal E. coli transfer antibiotic resistant genes rapidly to human intestinal microbiota in the Mucosal simulator of the Human Intestinal Microbial Ecosystem (M-SHIME)","SRP164695","SRX4816257","SRR7985070"
"150","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420550","SRR12968038"
"151","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420549","SRR12968039"
"152","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420548","SRR12968040"
"153","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420547","SRR12968044"
"154","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420546","SRR12968041"
"155","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420545","SRR12968042"
"156","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420544","SRR12968043"
"157","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420543","SRR12968045"
"158","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420542","SRR12968046"
"159","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420541","SRR12968047"
"160","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420540","SRR12968048"
"161","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420539","SRR12968049"
"162","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420538","SRR12968050"
"163","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420537","SRR12968051"
"164","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420536","SRR12968052"
"165","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420535","SRR12968053"
"166","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420534","SRR12968054"
"167","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420533","SRR12968055"
"168","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420532","SRR12968056"
"169","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420531","SRR12968057"
"170","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420530","SRR12968058"
"171","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420529","SRR12968059"
"172","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420528","SRR12968060"
"173","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420527","SRR12968061"
"174","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420526","SRR12968062"
"175","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420525","SRR12968063"
"176","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420524","SRR12968067"
"177","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420523","SRR12968064"
"178","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420522","SRR12968065"
"179","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420521","SRR12968066"
"180","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420520","SRR12968068"
"181","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420519","SRR12968069"
"182","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420518","SRR12968070"
"183","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420517","SRR12968071"
"184","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420516","SRR12968075"
"185","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420515","SRR12968072"
"186","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420514","SRR12968073"
"187","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420513","SRR12968074"
"188","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420512","SRR12968076"
"189","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420511","SRR12968077"
"190","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420510","SRR12968078"
"191","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420509","SRR12968079"
"192","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420508","SRR12968083"
"193","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420507","SRR12968080"
"194","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420506","SRR12968081"
"195","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420505","SRR12968082"
"196","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420504","SRR12968084"
"197","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420503","SRR12968085"
"198","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420502","SRR12968086"
"199","Comparative analysis of the gut microbiota cultured in vitro using a single colon versus a 3-stage colon experimental design","SRP290868","SRX9420501","SRR12968087"
"200","Composition of a one-month old infant SHIME microbiota in the presence of Cronobacter sakazakii, lactic acid bacteria, and lactic acid bacteria with Vivinal GOS.","SRP373954","SRX15187338","SRR19119643"
"201","Composition of a one-month old infant SHIME microbiota in the presence of Cronobacter sakazakii, lactic acid bacteria, and lactic acid bacteria with Vivinal GOS.","SRP373954","SRX15187337","SRR19119644"
"202","Composition of a one-month old infant SHIME microbiota in the presence of Cronobacter sakazakii, lactic acid bacteria, and lactic acid bacteria with Vivinal GOS.","SRP373954","SRX15187336","SRR19119645"
"203","Composition of a one-month old infant SHIME microbiota in the presence of Cronobacter sakazakii, lactic acid bacteria, and lactic acid bacteria with Vivinal GOS.","SRP373954","SRX15187335","SRR19119646"
"204","Composition of a one-month old infant SHIME microbiota in the presence of Cronobacter sakazakii, lactic acid bacteria, and lactic acid bacteria with Vivinal GOS.","SRP373954","SRX15187334","SRR19119647"
